rho,dt,n_paths,horizon,theoretical_mean,mean_count,relative_bias
0.5,0.08,120,8.0,16.0,18.066666666666666,0.12916666666666665
0.5,0.04,120,8.0,16.0,18.083333333333332,0.13020833333333326
0.5,0.02,120,8.0,16.0,17.333333333333332,0.08333333333333326
0.5,0.01,120,8.0,16.0,15.833333333333334,-0.01041666666666663
0.5,0.005,120,8.0,16.0,15.758333333333333,-0.015104166666666696
0.7,0.08,120,8.0,26.666666666666664,42.68333333333333,0.600625
0.7,0.04,120,8.0,26.666666666666664,30.516666666666666,0.14437500000000006
0.7,0.02,120,8.0,26.666666666666664,29.966666666666665,0.12375000000000004
0.7,0.01,120,8.0,26.666666666666664,29.916666666666668,0.12187500000000015
0.7,0.005,120,8.0,26.666666666666664,27.791666666666668,0.042187500000000135
0.9,0.08,120,8.0,80.00000000000001,325.78333333333336,3.0722916666666666
0.9,0.04,120,8.0,80.00000000000001,151.44166666666666,0.8930208333333329
0.9,0.02,120,8.0,80.00000000000001,124.78333333333333,0.5597916666666664
0.9,0.01,120,8.0,80.00000000000001,82.04166666666667,0.02552083333333321
0.9,0.005,120,8.0,80.00000000000001,94.75,0.1843749999999998
0.97,0.08,120,8.0,266.66666666666646,3405.141666666667,11.769281250000011
0.97,0.04,120,8.0,266.66666666666646,765.075,1.8690312500000024
0.97,0.02,120,8.0,266.66666666666646,424.15833333333336,0.5905937500000014
0.97,0.01,120,8.0,266.66666666666646,351.05833333333334,0.316468750000001
0.97,0.005,120,8.0,266.66666666666646,320.1166666666667,0.20043750000000096
