ticker,resolution_seconds,n_events_raw,n_events_collapsed,retained_share,mu,rho,beta,neg_loglik,success,hit_beta_upper,n_events_fit,horizon,event_rate_fit,residual_mean,residual_variance,residual_ks_stat,residual_ks_pvalue
AAPL,0.0,118497,118497,1.0,0.8465509570819671,0.33965478783848474,112.88419167397369,-2595.7837543881833,True,False,30000,23399.908994956997,1.2820562681019578,0.9999839781684109,1.7243936954651438,0.06917197677935394,4.2211644911410306e-125
AAPL,1e-06,118497,106357,0.8975501489489185,0.8614282353337286,0.328124389008382,89.87320273284257,559.2028566365079,True,False,30000,23399.908982817,1.2820562687670953,1.0000581977313359,1.7080221229502883,0.06819004548026364,1.3803057621735306e-121
AAPL,0.0001,118497,98164,0.8284091580377563,0.8544535714665374,0.3335333185168487,69.05499149501286,1997.0390799279558,True,False,30000,23399.908974624,1.2820562692159811,1.000026728996935,1.635722650121287,0.0635637693711334,1.0528450280618589e-105
AAPL,0.001,118497,72767,0.6140830569550284,0.8515092986471555,0.33584425679711954,23.393238690069428,9440.006677997058,True,False,30000,23399.908949227,1.2820562706074559,1.0000410660822072,1.4655008701254548,0.04945377774865034,3.7543548805444394e-64
AAPL,0.01,118497,51993,0.438770601787387,0.5283434059874219,0.5879829021536623,1.3891172913539231,16160.564206859517,True,False,30000,23399.908928453,1.2820562717456414,1.0000338201323462,0.980836517424403,0.03995429856747934,5.07413129613663e-42
AMZN,0.0,57515,57515,1.0,0.650502880973947,0.4927177766029474,148.4131591025766,-28548.36155304366,True,True,30000,23399.941957546995,1.2820544621190542,1.00012567501866,2.0600396757258443,0.12339377830338881,0.0
AMZN,1e-06,57515,53271,0.9262105537685821,0.6605593466348636,0.48482329537865904,148.4131591025766,-26580.420653959456,True,True,30000,23399.941953302994,1.282054462351578,1.0000754790169433,2.070949994471778,0.11945438261273751,0.0
AMZN,0.0001,57515,50290,0.8743805963661654,0.672336222111971,0.4756529944117458,148.4131591025766,-23393.185261294304,True,True,30000,23399.941950321994,1.2820544625149033,1.0000914243708758,1.972965444328493,0.11170489591608025,0.0
AMZN,0.001,57515,36916,0.6418499521863862,0.7124117221437954,0.4443475304727488,94.91335445501481,-10789.219190088013,True,False,30000,23399.941936947995,1.2820544632476485,1.0000457415996664,1.8594277439186622,0.05850668980835097,1.2815898566461968e-89
AMZN,0.01,57515,26864,0.46707815352516735,0.7049412389579524,0.3859769989780101,25.158749072003484,9367.879113569197,True,False,26864,23399.940811861994,1.1480370918879415,1.000036660932989,1.7358879208816598,0.06718227486426964,9.748559442328666e-106
GOOG,0.0,49482,49482,1.0,0.5455646743246513,0.5745509584985848,148.4131591025766,-43421.178754528686,True,True,30000,23399.305662676,1.2820893248919218,1.0000929628869708,1.8462851227777146,0.19134379964341403,0.0
GOOG,1e-06,49482,44645,0.9022472818398609,0.5674116904945369,0.5575378072147461,148.4131591025766,-38954.34577118038,True,True,30000,23399.305657839,1.2820893251569498,1.000120546530543,1.8343126657495452,0.17634452674202455,0.0
GOOG,0.0001,49482,42155,0.8519259528717513,0.5818928183009959,0.5460870059614018,148.4131591025766,-35849.51050644288,True,True,30000,23399.305655349,1.2820893252933814,0.9999650662812012,1.7649425663365501,0.1590553275270424,0.0
GOOG,0.001,49482,30634,0.6190938118911927,0.6526432772063053,0.49097085546937913,98.02052296234396,-19026.34410460339,True,False,30000,23399.305448083,1.282089336649852,1.0000344713088034,1.6070933191067973,0.06490399563490434,3.435675315199626e-110
GOOG,0.01,49482,22148,0.4475971060183501,0.5810778854380785,0.3861182247763835,20.925978117968704,11081.584917787293,True,False,22148,23399.305439597,0.9465238212806307,1.0000532369407735,1.463833967129354,0.04342333092765949,1.0683110165798772e-36
INTC,0.0,404986,404986,1.0,0.5409720115546806,0.5779907665027693,148.4131591025766,-59525.69469358371,True,True,30000,23399.943103891,1.2820543993122584,0.9999619757899324,1.5980921512574697,0.1214838107450883,0.0
INTC,1e-06,404986,375114,0.9262394255603897,0.566812534423052,0.5578514660769687,148.4131591025766,-55139.58094753749,True,True,30000,23399.943074019,1.282054400948909,0.9999789055297391,1.5493221604395633,0.1105352744059949,8.6661e-319
INTC,0.0001,404986,218450,0.5394013620223909,0.7897423523843426,0.38399355604804447,94.96614423945017,-9681.453552396026,True,False,30000,23399.942917355,1.2820544095323387,1.000011622947033,1.1222040820750945,0.047071465246558974,3.684532280746166e-58
INTC,0.001,404986,135053,0.33347572508679313,0.8832918905407061,0.31105028479351204,22.85938145505869,10497.808505192566,True,False,30000,23399.942833958,1.282054414101559,1.0000392299575565,1.024712430432658,0.04920833233454347,1.6052069519820444e-63
INTC,0.01,404986,86771,0.21425678912357465,0.47185607891783954,0.6323286388771353,0.5115270333318799,18620.783065304375,True,False,30000,23399.942785676,1.282054416746871,1.0000362216508927,0.7727236345034211,0.03982122355646306,9.593653767350872e-42
MSFT,0.0,411409,411409,1.0,0.47032205027951696,0.6331939210866729,148.4131591025766,-69259.29622661776,True,True,30000,23399.868323966002,1.2820584964264172,1.0000552851490618,1.9249524835801224,0.17026451683181132,0.0
MSFT,1e-06,411409,381251,0.926695818516367,0.4890108877834053,0.6185944102677838,148.4131591025766,-65881.53894537351,True,True,30000,23399.868293808002,1.282058498078748,1.0000334710044632,1.8535706002976606,0.1606025286744245,0.0
MSFT,0.0001,411409,199920,0.48593978255215614,0.7114329300065895,0.4451642245986162,104.46400524746777,-18403.27914531084,True,False,30000,23399.868112477,1.2820585080137163,1.0000972808461428,1.3081957593325504,0.04765045592036221,1.3719757222643434e-59
MSFT,0.001,411409,115485,0.28070606136472465,0.7729096810953844,0.3971413976576792,21.992812682867132,4750.657198245899,True,False,30000,23399.868028042,1.282058512639837,1.0000275882902196,1.102337787118356,0.05280167811140973,4.510474328913806e-73
MSFT,0.01,411409,71705,0.1742912770503319,0.5663848848413716,0.5583472979062701,1.4624601010414222,16021.33150270737,True,False,30000,23399.867984262,1.282058515038505,1.00003681555746,0.8229399334482078,0.04376850617661299,2.423724044250682e-50
