scenario_id,rho_hat,rho_true,epsilon,policy,n_paths,mean_wealth,median_wealth,std_wealth,cvar_5,certainty_equivalent,mean_abs_inventory,inventory_variance,fill_rate,spread_capture,adverse_selection,dt,steps,audit_horizon,mean_wealth_diff_vs_nominal,q05_diff_vs_nominal,q95_diff_vs_nominal
rho0.920_eps0.0200_dt0.0400,0.92,0.93,0.02,as_poisson,160,-8.405805325708181,-7.9051907462103514,7.7737317162041855,-29.10123578116894,-9.032435547535266,1.95,6.276100628930816,0.5568541666666667,6.645073247041417,19.97012760766902,0.04,300,12.0,-0.04582598575583846,-0.08865207470316676,-0.003725100026459487
rho0.920_eps0.0200_dt0.0400,0.92,0.93,0.02,nominal_hawkes,160,-8.359979339952343,-7.863334533192912,7.781752474528277,-29.066160529922037,-8.988233906599817,1.9375,6.188050314465409,0.5566875,6.679679687499996,19.960632351190583,0.04,300,12.0,,,
rho0.920_eps0.0200_dt0.0400,0.92,0.93,0.02,robust_vol_only,160,-8.359723989952984,-7.863062533193599,7.781785229071925,-29.065960279922486,-8.987983243990985,1.9375,6.188050314465409,0.5566875,6.67993503749999,19.960632351190583,0.04,300,12.0,0.0002553499993595665,7.16999998189749e-05,0.00048429999877725995
rho0.920_eps0.0200_dt0.0400,0.92,0.93,0.02,robust_gamma,160,-8.300107384432891,-7.707746891558529,7.738370976556726,-28.880639778299017,-8.920729848706896,1.90625,6.097130503144654,0.5565,6.694054687499988,19.956416678665022,0.04,300,12.0,0.05987195551945188,0.004999999999931504,0.494733383259895
rho0.920_eps0.0200_dt0.0400,0.92,0.93,0.02,robust_gamma_abs,160,-7.180112877042896,-6.178757054812241,7.400122156738608,-26.762142499979035,-7.7486132991183645,1.78125,5.361595911949685,0.5522083333333334,7.486085937500006,19.80387611428305,0.04,300,12.0,1.1798664629094473,-0.4868910081934019,3.2633985278202644
rho0.920_eps0.0200_dt0.0400,0.92,0.93,0.02,liquidity_guard,160,-7.180112877042896,-6.178757054812241,7.400122156738608,-26.762142499979035,-7.7486132991183645,1.78125,5.361595911949685,0.5522083333333334,7.486085937500006,19.80387611428305,0.04,300,12.0,1.1798664629094473,-0.4868910081934019,3.2633985278202644
rho0.920_eps0.0200_dt0.0400,0.92,0.93,0.02,known_true_gamma_no_ambiguity,160,-8.362271524558627,-7.850324329111714,7.77620961416974,-29.045515883079695,-8.98948699420776,1.925,6.150314465408805,0.5566666666666666,6.686244897959173,19.958614084290808,0.04,300,12.0,-0.002292184606283676,0.0024776785710471927,0.02507334183564751
rho0.920_eps0.0200_dt0.0200,0.92,0.93,0.02,as_poisson,160,-12.268147051563094,-11.621030187791131,6.713387440971956,-28.810693264087337,-12.740562091913471,2.34375,9.210338050314466,0.29522916666666665,5.95151884615384,16.057432705701643,0.02,600,12.0,-0.0490829315247749,-0.1414631247054208,-0.005155085059101365
rho0.920_eps0.0200_dt0.0200,0.92,0.93,0.02,nominal_hawkes,160,-12.21906412003832,-11.478486655851878,6.72118466633382,-28.735228807581898,-12.692533577914872,2.325,9.172327044025158,0.2950729166666667,5.975255859374991,16.04885165355905,0.02,600,12.0,,,
rho0.920_eps0.0200_dt0.0200,0.92,0.93,0.02,robust_vol_only,160,-12.218845082538868,-11.478317655852305,6.721129203936841,-28.734958307582524,-12.692307413977959,2.325,9.172327044025158,0.2950729166666667,5.975474896874988,16.04885165355905,0.02,600,12.0,0.00021903749944982565,4.799999987881165e-05,0.0005246999986752596
rho0.920_eps0.0200_dt0.0200,0.92,0.93,0.02,robust_gamma,160,-12.177221314155508,-11.419313483484984,6.691087469684575,-28.815746288319264,-12.646922466088775,2.31875,9.130149371069182,0.2948854166666667,5.998839843749988,16.03691948206569,0.02,600,12.0,0.041842805882809656,-0.3588899960314248,0.12345794682201378
rho0.920_eps0.0200_dt0.0200,0.92,0.93,0.02,robust_gamma_abs,160,-10.8526799923074,-9.806678779381649,6.2669504637511935,-26.956902831321095,-11.269613618355132,2.1375,8.069811320754717,0.29072916666666665,6.616390624999997,15.810618034507035,0.02,600,12.0,1.366384127730918,-0.7116842005756792,3.9569250800942486
rho0.920_eps0.0200_dt0.0200,0.92,0.93,0.02,liquidity_guard,160,-10.8526799923074,-9.806678779381649,6.2669504637511935,-26.956902831321095,-11.269613618355132,2.1375,8.069811320754717,0.29072916666666665,6.616390624999997,15.810618034507035,0.02,600,12.0,1.366384127730918,-0.7116842005756792,3.9569250800942486
rho0.920_eps0.0200_dt0.0200,0.92,0.93,0.02,known_true_gamma_no_ambiguity,160,-12.202895970583105,-11.456308973007594,6.716730370893027,-28.72229035094994,-12.675830820677248,2.325,9.172327044025158,0.29508333333333336,5.982102678571418,16.048767180474563,0.02,600,12.0,0.016168149455213422,0.0022959183671645176,0.027378826528987325
rho0.920_eps0.0200_dt0.0100,0.92,0.93,0.02,as_poisson,160,-12.884046248635292,-10.853683430563974,7.796882019084538,-35.0677480821465,-13.53272183826518,2.41875,9.845872641509434,0.12399479166666667,4.662294267751473,12.296865514089296,0.01,1200,12.0,-0.05818611523232596,-0.08203509985308273,0.1560293391410352
rho0.920_eps0.0200_dt0.0100,0.92,0.93,0.02,nominal_hawkes,160,-12.825860133402966,-10.955159668736808,7.695887005671972,-34.52894535350544,-13.456924403901127,2.4125,9.846540880503143,0.12388020833333332,4.671117187499992,12.284818697610538,0.01,1200,12.0,,,
rho0.920_eps0.0200_dt0.0100,0.92,0.93,0.02,robust_vol_only,160,-12.825696383403368,-10.955009668737187,7.695821092580462,-34.52862510350615,-13.45674945604812,2.4125,9.846540880503143,0.12388020833333332,4.671280937499991,12.284818697610538,0.01,1200,12.0,0.00016374999959722913,4.5999999883861165e-05,0.0003944999990039831
rho0.920_eps0.0200_dt0.0100,0.92,0.93,0.02,robust_gamma,160,-12.76906838055691,-10.956832740106035,7.660499614095846,-34.47890629100651,-13.394304626338654,2.4,9.758490566037736,0.12384375,4.690460937499991,12.27993221416366,0.01,1200,12.0,0.05679175284605793,0.006562499999913029,0.2123790395756668
rho0.920_eps0.0200_dt0.0100,0.92,0.93,0.02,robust_gamma_abs,160,-11.671698841405771,-9.724218237832082,7.235272558595918,-32.735547536817414,-12.231731634082866,2.23125,8.615369496855346,0.12191666666666667,5.115730468749996,12.101121860073292,0.01,1200,12.0,1.1541612919971957,-0.687355255180709,3.589482413784397
rho0.920_eps0.0200_dt0.0100,0.92,0.93,0.02,liquidity_guard,160,-11.671698841405771,-9.724218237832082,7.235272558595918,-32.735547536817414,-12.231731634082866,2.23125,8.615369496855346,0.12191666666666667,5.115730468749996,12.101121860073292,0.01,1200,12.0,1.1541612919971957,-0.687355255180709,3.589482413784397
rho0.920_eps0.0200_dt0.0100,0.92,0.93,0.02,known_true_gamma_no_ambiguity,160,-12.810247830477305,-10.947984923839382,7.683781998539053,-34.513627273149226,-13.439314677407323,2.4125,9.846540880503143,0.12388541666666666,4.677947066326523,12.284916398679107,0.01,1200,12.0,0.015612302925660237,0.0022002551019625117,0.021423788264081593
