scenario_id,rho_hat,rho_true,epsilon,policy,n_paths,mean_wealth,median_wealth,std_wealth,cvar_5,certainty_equivalent,mean_abs_inventory,inventory_variance,fill_rate,spread_capture,adverse_selection,arrival_simulator,dt,steps,audit_horizon,mean_total_events,mean_wealth_diff_vs_nominal,q05_diff_vs_nominal,q95_diff_vs_nominal
rho0.920_eps0.0200_discrete,0.92,0.93,0.02,as_poisson,160,-7.2518451549116545,-5.946749548509379,5.040521392182977,-20.27169630109251,-7.5137522280849876,2.21875,8.391155660377358,0.23312499999999997,3.0239827144970386,8.099377800541395,discrete,0.02,400,8.0,226.7875,-0.057608820114806836,-0.05324356508845227,-0.0042933394970020855
rho0.920_eps0.0200_discrete,0.92,0.93,0.02,nominal_hawkes,160,-7.194236334796848,-5.9229719727525065,4.982074124515998,-20.07308609428091,-7.449985389014076,2.20625,8.328262578616352,0.233015625,3.031884765624997,8.09489418327124,discrete,0.02,400,8.0,226.7875,,,
rho0.920_eps0.0200_discrete,0.92,0.93,0.02,robust_vol_only,160,-7.194124872297121,-5.92274097275309,4.9820377357189,-20.07289134428133,-7.4498701923121855,2.20625,8.328262578616352,0.233015625,3.031996228124997,8.09489418327124,discrete,0.02,400,8.0,226.7875,0.00011146249972711075,2.989999992450976e-05,0.000270099999318063
rho0.920_eps0.0200_discrete,0.92,0.93,0.02,robust_gamma,160,-7.164417936637233,-5.884980669789325,4.98431407246992,-20.042656406781568,-7.4203923393398385,2.18125,8.237382075471698,0.232734375,3.0459687499999957,8.08461218738359,discrete,0.02,400,8.0,226.7875,0.02981839815961526,0.0037343749999109834,0.10347591457620205
rho0.920_eps0.0200_discrete,0.92,0.93,0.02,robust_gamma_abs,160,-6.4893877389819625,-5.221670640561407,4.544316858605074,-18.371877609131925,-6.701322833547063,2.10625,7.425117924528302,0.228875,3.361910156249999,7.948586212502218,discrete,0.02,400,8.0,226.7875,0.704848595814886,-0.5273370813225067,2.6514145570856753
rho0.920_eps0.0200_discrete,0.92,0.93,0.02,liquidity_guard,160,-6.4893877389819625,-5.221670640561407,4.544316858605074,-18.371877609131925,-6.701322833547063,2.10625,7.425117924528302,0.228875,3.361910156249999,7.948586212502218,discrete,0.02,400,8.0,226.7875,0.704848595814886,-0.5273370813225067,2.6514145570856753
rho0.920_eps0.0200_discrete,0.92,0.93,0.02,known_true_gamma_no_ambiguity,160,-7.1868612730116705,-5.919055102880273,4.983232327663649,-20.06377088382238,-7.442718575609435,2.2,8.316981132075473,0.23295312500000004,3.037609693877548,8.091965089149662,discrete,0.02,400,8.0,226.7875,0.007375061785177347,0.0013392857141795388,0.01301020408055038
rho0.920_eps0.0200_ogata_binned,0.92,0.93,0.02,as_poisson,160,-7.755783231086809,-5.844655397828036,5.910213363839474,-24.7878192683527,-8.124786755524774,2.3625,9.820754716981131,0.19964062500000002,2.607875599112424,6.837392817979651,ogata_binned,0.02,400,8.0,185.475,-0.017916516714095228,-0.03697811760324186,-0.003062274408310378
rho0.920_eps0.0200_ogata_binned,0.92,0.93,0.02,nominal_hawkes,160,-7.737866714372714,-5.833264872049884,5.914353854634948,-24.76954564594116,-8.107368686424563,2.36875,9.806564465408806,0.19953125,2.617539062499998,6.835820574707054,ogata_binned,0.02,400,8.0,185.475,,,
rho0.920_eps0.0200_ogata_binned,0.92,0.93,0.02,robust_vol_only,160,-7.737774064372938,-5.833203872050038,5.914331869485724,-24.769426895941432,-8.107273309714062,2.36875,9.806564465408806,0.19953125,2.6176317124999975,6.835820574707054,ogata_binned,0.02,400,8.0,185.475,9.264999977602884e-05,2.999999992425728e-05,0.0002025999997101733
rho0.920_eps0.0200_ogata_binned,0.92,0.93,0.02,robust_gamma,160,-7.739357718323094,-5.870611111126469,6.023751806950146,-25.445489744919634,-8.124978357762735,2.35,9.672798742138363,0.199296875,2.630195312499997,6.828806516958768,ogata_binned,0.02,400,8.0,185.475,-0.0014910039503795657,0.002453124999996703,0.04907881769378885
rho0.920_eps0.0200_ogata_binned,0.92,0.93,0.02,robust_gamma_abs,160,-7.047921658649924,-5.389776358904946,5.626747904923543,-23.516601644976305,-7.3826028069657035,2.25625,8.982350628930817,0.196171875,2.897328124999999,6.7202754366383575,ogata_binned,0.02,400,8.0,185.475,0.6899450557227921,-0.524118136736997,2.597926336558035
rho0.920_eps0.0200_ogata_binned,0.92,0.93,0.02,liquidity_guard,160,-7.047921658649924,-5.389776358904946,5.626747904923543,-23.516601644976305,-7.3826028069657035,2.25625,8.982350628930817,0.196171875,2.897328124999999,6.7202754366383575,ogata_binned,0.02,400,8.0,185.475,0.6899450557227921,-0.524118136736997,2.597926336558035
rho0.920_eps0.0200_ogata_binned,0.92,0.93,0.02,known_true_gamma_no_ambiguity,160,-7.729826581192077,-5.830347142458311,5.912741232494175,-24.763865639563754,-8.099145767835,2.3625,9.770440251572326,0.19949999999999998,2.6211556122448956,6.833824547825548,ogata_binned,0.02,400,8.0,185.475,0.008040133180636167,0.0014301658161429032,0.010733418366347528
