time_index,inventory,rho_hat,epsilon,ambiguity,rho_worst,bid_offset,ask_offset,bid_active,ask_active,bid_action,ask_action,quoted_sides,action,no_quote_action,is_no_quote,is_full_no_quote,half_spread,quoted_half_spread,quote_cap_hit,no_quote_rate,full_no_quote_rate,one_sided_quote_rate,quote_cap_hit_rate,mean_quoted_sides
0,0,0.3,0.005,absolute_gamma,0.305,0.22285714285714286,0.22285714285714286,True,True,quote,quote,2,two_sided,none,False,False,0.22285714285714286,0.22285714285714286,False,0.0,0.0,0.0,0.0,2.0
0,0,0.5,0.005,absolute_gamma,0.505,0.22285714285714286,0.22285714285714286,True,True,quote,quote,2,two_sided,none,False,False,0.22285714285714286,0.22285714285714286,False,0.0,0.0,0.0,0.0,2.0
0,0,0.7,0.005,absolute_gamma,0.705,0.22285714285714286,0.22285714285714286,True,True,quote,quote,2,two_sided,none,False,False,0.22285714285714286,0.22285714285714286,False,0.0,0.0,0.0,0.0,2.0
0,0,0.85,0.005,absolute_gamma,0.855,0.22285714285714286,0.22285714285714286,True,True,quote,quote,2,two_sided,none,False,False,0.22285714285714286,0.22285714285714286,False,0.48484848484848486,0.0,0.48484848484848486,0.06818181818181818,1.5151515151515151
0,0,0.92,0.005,absolute_gamma,0.925,0.4357142857142857,0.4357142857142857,True,True,quote,quote,2,two_sided,none,False,False,0.4357142857142857,0.4357142857142857,False,0.7348484848484849,0.0,0.7348484848484849,0.03787878787878788,1.2651515151515151
0,0,0.3,0.02,absolute_gamma,0.32,0.22285714285714286,0.22285714285714286,True,True,quote,quote,2,two_sided,none,False,False,0.22285714285714286,0.22285714285714286,False,0.0,0.0,0.0,0.0,2.0
0,0,0.5,0.02,absolute_gamma,0.52,0.22285714285714286,0.22285714285714286,True,True,quote,quote,2,two_sided,none,False,False,0.22285714285714286,0.22285714285714286,False,0.0,0.0,0.0,0.0,2.0
0,0,0.7,0.02,absolute_gamma,0.72,0.22285714285714286,0.22285714285714286,True,True,quote,quote,2,two_sided,none,False,False,0.22285714285714286,0.22285714285714286,False,0.0,0.0,0.0,0.0,2.0
0,0,0.85,0.02,absolute_gamma,0.87,0.22285714285714286,0.22285714285714286,True,True,quote,quote,2,two_sided,none,False,False,0.22285714285714286,0.22285714285714286,False,0.3939393939393939,0.0,0.3939393939393939,0.015151515151515152,1.606060606060606
0,0,0.92,0.02,absolute_gamma,0.9400000000000001,0.6485714285714286,0.6485714285714286,True,True,quote,quote,2,two_sided,none,False,False,0.6485714285714286,0.6485714285714286,False,0.8409090909090909,0.0,0.8409090909090909,0.015151515151515152,1.1590909090909092
0,0,0.3,0.005,relative_slack,0.3035,0.22285714285714286,0.22285714285714286,True,True,quote,quote,2,two_sided,none,False,False,0.22285714285714286,0.22285714285714286,False,0.0,0.0,0.0,0.0,2.0
0,0,0.5,0.005,relative_slack,0.5025,0.22285714285714286,0.22285714285714286,True,True,quote,quote,2,two_sided,none,False,False,0.22285714285714286,0.22285714285714286,False,0.0,0.0,0.0,0.0,2.0
0,0,0.7,0.005,relative_slack,0.7014999999999999,0.22285714285714286,0.22285714285714286,True,True,quote,quote,2,two_sided,none,False,False,0.22285714285714286,0.22285714285714286,False,0.0,0.0,0.0,0.0,2.0
0,0,0.85,0.005,relative_slack,0.85075,0.22285714285714286,0.22285714285714286,True,True,quote,quote,2,two_sided,none,False,False,0.22285714285714286,0.22285714285714286,False,0.4318181818181818,0.0,0.4318181818181818,0.09848484848484848,1.5681818181818181
0,0,0.92,0.005,relative_slack,0.9204,0.4357142857142857,0.4357142857142857,True,True,quote,quote,2,two_sided,none,False,False,0.4357142857142857,0.4357142857142857,False,0.6666666666666666,0.0,0.6666666666666666,0.08333333333333333,1.3333333333333333
0,0,0.3,0.02,relative_slack,0.314,0.22285714285714286,0.22285714285714286,True,True,quote,quote,2,two_sided,none,False,False,0.22285714285714286,0.22285714285714286,False,0.0,0.0,0.0,0.0,2.0
0,0,0.5,0.02,relative_slack,0.51,0.22285714285714286,0.22285714285714286,True,True,quote,quote,2,two_sided,none,False,False,0.22285714285714286,0.22285714285714286,False,0.0,0.0,0.0,0.0,2.0
0,0,0.7,0.02,relative_slack,0.706,0.22285714285714286,0.22285714285714286,True,True,quote,quote,2,two_sided,none,False,False,0.22285714285714286,0.22285714285714286,False,0.0,0.0,0.0,0.0,2.0
0,0,0.85,0.02,relative_slack,0.853,0.22285714285714286,0.22285714285714286,True,True,quote,quote,2,two_sided,none,False,False,0.22285714285714286,0.22285714285714286,False,0.4621212121212121,0.0,0.4621212121212121,0.08333333333333333,1.5378787878787878
0,0,0.92,0.02,relative_slack,0.9216000000000001,0.4357142857142857,0.4357142857142857,True,True,quote,quote,2,two_sided,none,False,False,0.4357142857142857,0.4357142857142857,False,0.6666666666666666,0.0,0.6666666666666666,0.09090909090909091,1.3333333333333333
