paper_or_baseline,covers_hawkes_mm,covers_robust_mm,covers_gamma_uncertainty,covers_critical_exponent,mesa_position,source_url,code_url,code_reality_note,web_verified_date,empirical_lob_evaluation,queue_or_latency_realism,neural_or_rl_policy,production_execution_claim
Law & Viens 2019/2020,False,False,False,False,Marked point-process/HJB-QVI LOB MM benchmark; MESA adds Hawkes branching-matrix ambiguity.,https://arxiv.org/abs/1903.07222,,"No directly usable public code repository verified in the May 16, 2026 web audit.",2026-05-16,False,False,False,False
"Wang, Ventre, Polukarov 2023/2025 quote/no-quote",False,True,False,False,Robust quote-refusal/single-sided quoting benchmark; Hawkes branching uncertainty is outside its scope.,https://arxiv.org/abs/2508.16588,,"No directly usable public code repository verified in the May 16, 2026 web audit.",2026-05-16,False,False,False,False
"Wang, Ventre, Polukarov 2024/2025 Hawkes ARL",True,True,False,False,A close Hawkes/ARL policy benchmark; no branching-matrix ambiguity amplification law.,https://arxiv.org/abs/2508.16589,,"No directly usable public code repository verified in the May 16, 2026 web audit.",2026-05-16,False,False,True,False
Jain et al. 2025 Hawkes impulse control,True,False,False,False,A close HJB-QVI benchmark; robustness to Gamma is not the main object.,https://arxiv.org/abs/2510.26438,,"No directly usable public code repository verified in the May 16, 2026 web audit.",2026-05-16,False,False,False,False
Lalor & Swishchuk 2025 neural Hawkes LOB,True,False,False,False,Neural Hawkes LOB simulator/DRL market-making baseline; ambiguity amplification is complementary.,https://arxiv.org/abs/2502.17417,,"No directly usable public code repository verified in the May 16, 2026 web audit.",2026-05-16,True,False,True,False
Kumar 2021/2024 Deep Hawkes,True,False,False,False,Deep Hawkes high-frequency MM/simulation benchmark; MESA adds structural Gamma ambiguity diagnostics.,https://arxiv.org/abs/2109.15110,,"Journal version DOI 10.1007/s42786-024-00049-8; no directly usable public code repository verified in the May 16, 2026 web audit.",2026-05-16,False,False,True,False
"Guo, Lin & Huang 2023 Attn-LOB DRL",False,False,False,False,LOB-feature DRL baseline; focus is alpha learning rather than Hawkes structure.,https://arxiv.org/abs/2305.15821,https://github.com/imTurkey/Market-Making-with-Deep-Reinforcement-Learning-from-Limit-Order-Books,Public demo repository visible with conda_setup.yaml and main.py; license not visible in web audit.,2026-05-16,True,True,True,False
Jiang et al. 2025 latency-aware RL,False,False,False,False,Latency/inventory-aware neural MM benchmark; robust Hawkes ambiguity is not modeled.,https://arxiv.org/abs/2505.12465,https://anonymous.4open.science/r/Relaver_ijcai-3025/,Paper/rebuttal text points to anonymous 4open code; detailed public post-review repository not verified.,2026-05-16,True,True,True,False
Raffaelli et al. 2026 multivariate Hawkes BTC LOB,False,False,False,False,Recent multivariate Hawkes BTC LOB calibration/forecasting study; robust control is outside its scope.,https://doi.org/10.1007/s10203-026-00570-z,,"No directly usable public code repository verified in the May 16, 2026 web audit.",2026-05-16,True,False,False,False
El Karmi 2025 deterministic Hawkes LOB simulator,False,False,False,False,Simulator-realism baseline with Hawkes-driven order flow; robustness is complementary.,https://arxiv.org/abs/2510.08085,https://github.com/sohaibelkarmi/High-Frequency-Trading-Simulator,"Public GitHub repository visible with C++/Python source, configs, docs, tests, Makefile/CMake, and quick-start guidance; license not visible in web audit.",2026-05-16,True,True,False,False
"Noble, Rosenbaum & Souilmi 2026 realism gap",False,False,False,False,Recent simulator-realism and execution-sensitivity study; MESA is a complementary risk layer.,https://arxiv.org/abs/2603.24137,,"No directly usable public code repository verified in the May 16, 2026 web audit.",2026-05-16,True,True,False,False
Kimura 2026 state-dependent Hawkes,False,False,False,False,State-dependent Hawkes LOB with local supercriticality evidence; MESA targets robust Gamma ambiguity.,https://arxiv.org/abs/2604.23961,,"No directly usable public code repository verified in the May 16, 2026 web audit.",2026-05-16,True,True,False,False
Szymanski & Xu 2025 nearly unstable Hawkes,False,False,False,True,Near-critical Hawkes scaling limits; MESA adds market-making control and Gamma-ambiguity premiums.,https://arxiv.org/abs/2501.11648,,"No directly usable public code repository verified in the May 16, 2026 web audit.",2026-05-16,False,False,False,False
El Karmi 2026 bivariate nearly unstable Hawkes,False,False,False,True,Recent bivariate near-critical Hawkes limit theory; MESA targets robust market-making premiums.,https://arxiv.org/abs/2605.03703,,"No directly usable public code repository verified in the May 16, 2026 web audit.",2026-05-16,False,False,False,False
MESA reduced-form package,True,True,True,True,"Reduced-form theorem, policy stress tests, and public-data calibration diagnostics.",local:/Users/goodday/Documents/Projects/16may,local:/Users/goodday/Documents/Projects/16may,"Local reproducible package with tests, Makefile, scripts, data fetchers, reports, figures, and PDFs.",2026-05-16,True,False,False,False
