gap_multiple,loading,adversary,n_positive,median_perron_visibility,median_premium_to_proxy,intercept,slope,r2,p_value,stderr
2.0,perron_orthogonal,perron_aligned,0,0.0,,,,,,
2.0,perron_orthogonal,second_mode,5,0.0,,-2.836304536625831,-1.9999999999999774,0.9999999999999998,1.4044551538035188e-24,1.7206378853011706e-08
2.0,perron_visible,perron_aligned,5,0.9999999999999998,2.812499999999997,-0.5753641449034825,-1.99999999999997,1.0,1.2004217548761408e-30,0.0
2.0,perron_visible,second_mode,0,0.9999999999999998,0.0,,,,,
2.0,weak_perron_visible,perron_aligned,5,0.31622776601683783,2.8125000000000004,-2.8779492378974956,-1.9999999999999574,1.0,1.2004217548761408e-30,0.0
2.0,weak_perron_visible,second_mode,5,0.31622776601683783,2.6388888888888866,-2.9416650522836285,-1.9999999999999665,1.0,1.2004217548761408e-30,0.0
4.0,perron_orthogonal,perron_aligned,0,0.0,,,,,,
4.0,perron_orthogonal,second_mode,5,0.0,,-4.997905034442983,-1.9999999999999858,1.0,1.2004217548761408e-30,0.0
4.0,perron_visible,perron_aligned,5,0.9999999999999998,2.8125,-0.5753641449035278,-1.9999999999999858,1.0,1.2004217548761408e-30,0.0
4.0,perron_visible,second_mode,0,0.9999999999999998,0.0,,,,,
4.0,weak_perron_visible,perron_aligned,5,0.31622776601683783,2.8124999999999947,-2.877949237897571,-1.9999999999999845,1.0,1.2004217548761408e-30,0.0
4.0,weak_perron_visible,second_mode,5,0.31622776601683783,0.30384349030470686,-5.10326555010053,-1.9999999999998779,1.0,1.2004217548761408e-30,0.0
8.0,perron_orthogonal,perron_aligned,0,0.0,,,,,,
8.0,perron_orthogonal,second_mode,5,0.0,,-7.1165585231519115,-1.999999999999983,1.0,1.2004217548761408e-30,0.0
8.0,perron_visible,perron_aligned,5,0.9999999999999998,2.812499999999996,-0.5753641449035323,-1.9999999999999871,1.0,1.2004217548761408e-30,0.0
8.0,perron_visible,second_mode,0,0.9999999999999998,0.0,,,,,
8.0,weak_perron_visible,perron_aligned,5,0.31622776601683783,2.8124999999999933,-2.877949237897578,-1.999999999999987,1.0,1.2004217548761408e-30,0.0
8.0,weak_perron_visible,second_mode,5,0.31622776601683783,0.036519970414194663,-7.221919038807685,-1.9999999999991631,1.0,1.2004217548761408e-30,0.0
